id,l1,l2,useful_ratio,waste_cat,waste_root,pred_len
918,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2774
919,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2279
920,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1067
921,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1832
922,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1366
923,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,2824
924,Visual Perception Failure,Object Presence / State Tracking Error,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1086
925,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2153
926,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1371
927,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1214
928,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,2029
929,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1498
930,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1344
931,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1607
932,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1960
933,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1044
934,Visual Perception Failure,Object / Attribute Misrecognition,0.25,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,2191
935,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,966
936,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1900
937,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2021
938,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1380
939,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2205
940,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1397
941,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,2075
942,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1285
943,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1841
944,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1078
945,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1633
946,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,686
947,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1100
948,Visual Perception Failure,Object / Attribute Misrecognition,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,246
949,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1675
950,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,2019
951,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1122
952,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1920
953,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1883
954,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,2559
955,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Over-Verbose / Padding,Unnecessary Background & Commentary,2173
956,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1057
957,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1312
958,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,489
959,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1896
960,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,2058
961,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1091
962,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2050
963,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Over-Verbose / Padding,Unnecessary Background & Commentary,3112
964,Visual Perception Failure,Action / Event Misperception,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,924
965,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Under-Specified Grounding / Weak Localization,Temporal Imprecision or Misalignment,114
966,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,799
967,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,309
968,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Under-Specified Grounding / Weak Localization,Vague or Rough Localization,2275
969,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,2763
970,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.05,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,913
971,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Under-Specified Grounding / Weak Localization,Vague or Rough Localization,2240
972,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1058
973,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1674
974,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1540
975,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,333
976,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,492
977,Visual Perception Failure,Action / Event Misperception,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1502
978,Visual Perception Failure,Action / Event Misperception,0.3,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,442
979,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,898
980,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Over-Verbose / Padding,Unnecessary Background & Commentary,1502
981,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,869
982,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1504
983,Correct,N/A,0.02,Over-Verbose / Padding,Excessive Narrative Detail,32767
984,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1201
985,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1797
986,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,2370
987,Visual Perception Failure,Object Presence / State Tracking Error,0.6,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,510
988,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,1775
989,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1114
990,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,1112
991,Correct,N/A,0.7,Over-Verbose / Padding,Redundant Restatement,462
992,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1065
993,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,4944
994,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,117
995,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1682
996,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,927
997,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,944
998,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,963
999,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1259
1000,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1644
1001,Correct,N/A,0.7,Over-Verbose / Padding,Redundant Restatement,612
1002,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.4,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,757
1003,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,342
1004,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2025
1005,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,593
1006,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1220
1007,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.6,Over-Verbose / Padding,Redundant Restatement,1020
1008,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1272
1009,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.5,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,610
1010,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1523
1011,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,735
1012,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1246
1013,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,366
1014,Visual Perception Failure,Action / Event Misperception,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,894
1015,Visual Perception Failure,Action / Event Misperception,0.1,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,4
1016,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,339
1017,Visual Perception Failure,Action / Event Misperception,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1029
1018,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Over-Verbose / Padding,Redundant Restatement,1338
1019,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,363
1020,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1137
1021,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,845
1022,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,1456
1023,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.8,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,604
1024,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1279
1025,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1029
1026,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,317
1027,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1033
1028,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,693
1029,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1813
1030,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.7,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1718
1031,Correct,N/A,0.7,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,429
1032,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,429
1033,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.9,Incorrect but Confident Reasoning,Flawed Counting or Comparison Logic,92
